Time (seconds),TEMPERATURE,SOUND
2.66,16,7
4.66,16,56
6.66,16,52
8.66,16,56
10.66,16,56
12.66,16,48
14.66,16,52
16.66,16,48
18.66,16,52
20.66,16,52
22.66,16,52
24.66,17,48
26.66,17,48
28.66,17,48
30.66,17,56
32.66,17,41
34.66,17,48
